date,homeTeam,awayTeam,homeGoals,awayGoals,winner
2023-08-11 18:00:00+00:00,FC Volendam,SBV Vitesse,1,2,AWAY_TEAM
2023-08-12 14:30:00+00:00,PSV,FC Utrecht,2,0,HOME_TEAM
2023-08-12 16:45:00+00:00,SC Heerenveen,RKC Waalwijk,3,1,HOME_TEAM
2023-08-12 18:00:00+00:00,AFC Ajax,Heracles Almelo,4,1,HOME_TEAM
2023-08-12 19:00:00+00:00,PEC Zwolle,Sparta Rotterdam,1,2,AWAY_TEAM
2023-08-13 10:15:00+00:00,NEC,SBV Excelsior,3,4,AWAY_TEAM
2023-08-13 12:30:00+00:00,Feyenoord Rotterdam,Fortuna Sittard,0,0,DRAW
2023-08-13 12:30:00+00:00,AZ,Go Ahead Eagles,5,1,HOME_TEAM
2023-08-13 14:45:00+00:00,Almere City FC,FC Twente '65,1,4,AWAY_TEAM
2023-08-18 18:00:00+00:00,Heracles Almelo,NEC,2,1,HOME_TEAM
2023-08-19 14:30:00+00:00,SBV Excelsior,AFC Ajax,2,2,DRAW
2023-08-19 16:45:00+00:00,SBV Vitesse,PSV,1,3,AWAY_TEAM
2023-08-19 18:00:00+00:00,Fortuna Sittard,Almere City FC,2,1,HOME_TEAM
2023-08-19 19:00:00+00:00,Go Ahead Eagles,FC Volendam,4,1,HOME_TEAM
2023-08-20 10:15:00+00:00,FC Utrecht,SC Heerenveen,0,2,AWAY_TEAM
2023-08-20 12:30:00+00:00,Sparta Rotterdam,Feyenoord Rotterdam,2,2,DRAW
2023-08-20 12:30:00+00:00,FC Twente '65,PEC Zwolle,3,1,HOME_TEAM
2023-08-20 14:45:00+00:00,RKC Waalwijk,AZ,1,3,AWAY_TEAM
2023-08-26 16:45:00+00:00,NEC,RKC Waalwijk,3,0,HOME_TEAM
2023-08-26 19:00:00+00:00,SBV Excelsior,Fortuna Sittard,2,2,DRAW
2023-08-27 10:15:00+00:00,PEC Zwolle,FC Utrecht,1,0,HOME_TEAM
2023-08-27 12:30:00+00:00,Feyenoord Rotterdam,Almere City FC,6,1,HOME_TEAM
2023-08-27 14:45:00+00:00,SC Heerenveen,Sparta Rotterdam,1,3,AWAY_TEAM
2023-09-01 18:00:00+00:00,Sparta Rotterdam,NEC,1,1,DRAW
2023-09-02 14:30:00+00:00,Almere City FC,PEC Zwolle,1,2,AWAY_TEAM
2023-09-02 16:45:00+00:00,Go Ahead Eagles,SC Heerenveen,3,2,HOME_TEAM
2023-09-02 18:00:00+00:00,RKC Waalwijk,PSV,0,4,AWAY_TEAM
2023-09-02 19:00:00+00:00,Heracles Almelo,SBV Excelsior,3,1,HOME_TEAM
2023-09-03 10:15:00+00:00,FC Utrecht,Feyenoord Rotterdam,1,5,AWAY_TEAM
2023-09-03 12:30:00+00:00,Fortuna Sittard,AFC Ajax,0,0,DRAW
2023-09-03 12:30:00+00:00,FC Volendam,FC Twente '65,0,2,AWAY_TEAM
2023-09-03 14:45:00+00:00,SBV Vitesse,AZ,0,2,AWAY_TEAM
2023-09-16 14:30:00+00:00,Feyenoord Rotterdam,SC Heerenveen,6,1,HOME_TEAM
2023-09-16 16:45:00+00:00,SBV Vitesse,RKC Waalwijk,0,2,AWAY_TEAM
2023-09-16 18:00:00+00:00,Fortuna Sittard,FC Volendam,3,1,HOME_TEAM
2023-09-16 18:00:00+00:00,PSV,NEC,4,0,HOME_TEAM
2023-09-16 19:00:00+00:00,Heracles Almelo,FC Utrecht,1,3,AWAY_TEAM
2023-09-17 10:15:00+00:00,PEC Zwolle,Go Ahead Eagles,1,1,DRAW
2023-09-17 12:30:00+00:00,FC Twente '65,AFC Ajax,3,1,HOME_TEAM
2023-09-17 12:30:00+00:00,SBV Excelsior,Almere City FC,0,0,DRAW
2023-09-17 14:45:00+00:00,AZ,Sparta Rotterdam,2,0,HOME_TEAM
2023-09-22 18:00:00+00:00,Go Ahead Eagles,Fortuna Sittard,3,0,HOME_TEAM
2023-09-23 14:30:00+00:00,FC Volendam,Heracles Almelo,2,2,DRAW
2023-09-23 16:45:00+00:00,NEC,FC Utrecht,3,0,HOME_TEAM
2023-09-23 18:00:00+00:00,Almere City FC,PSV,0,4,AWAY_TEAM
2023-09-23 19:00:00+00:00,SC Heerenveen,SBV Excelsior,0,3,AWAY_TEAM
2023-09-24 10:15:00+00:00,Sparta Rotterdam,SBV Vitesse,1,0,HOME_TEAM
2023-09-24 14:45:00+00:00,RKC Waalwijk,FC Twente '65,1,0,HOME_TEAM
2023-09-24 14:45:00+00:00,PEC Zwolle,AZ,0,3,AWAY_TEAM
2023-09-27 12:00:00+00:00,AFC Ajax,Feyenoord Rotterdam,0,4,AWAY_TEAM
2023-09-27 16:45:00+00:00,PSV,Go Ahead Eagles,3,0,HOME_TEAM
2023-09-27 18:00:00+00:00,FC Twente '65,SBV Vitesse,1,0,HOME_TEAM
2023-09-28 18:00:00+00:00,AZ,Heracles Almelo,1,1,DRAW
2023-09-30 14:30:00+00:00,Feyenoord Rotterdam,Go Ahead Eagles,3,1,HOME_TEAM
2023-09-30 16:45:00+00:00,FC Utrecht,Almere City FC,0,2,AWAY_TEAM
2023-09-30 16:45:00+00:00,PSV,FC Volendam,3,1,HOME_TEAM
2023-09-30 19:00:00+00:00,FC Twente '65,SC Heerenveen,1,0,HOME_TEAM
2023-10-01 10:15:00+00:00,NEC,SBV Vitesse,1,2,AWAY_TEAM
2023-10-01 12:30:00+00:00,SBV Excelsior,Sparta Rotterdam,2,1,HOME_TEAM
2023-10-01 12:30:00+00:00,Heracles Almelo,PEC Zwolle,2,1,HOME_TEAM
2023-10-01 14:45:00+00:00,AZ,Fortuna Sittard,4,0,HOME_TEAM
2023-10-06 18:00:00+00:00,FC Volendam,FC Utrecht,1,0,HOME_TEAM
2023-10-07 14:30:00+00:00,SC Heerenveen,NEC,1,1,DRAW
2023-10-07 16:45:00+00:00,Almere City FC,RKC Waalwijk,1,0,HOME_TEAM
2023-10-07 18:00:00+00:00,Go Ahead Eagles,Heracles Almelo,4,0,HOME_TEAM
2023-10-07 19:00:00+00:00,SBV Vitesse,SBV Excelsior,0,0,DRAW
2023-10-08 10:15:00+00:00,PEC Zwolle,Feyenoord Rotterdam,0,2,AWAY_TEAM
2023-10-08 12:30:00+00:00,Fortuna Sittard,FC Twente '65,0,3,AWAY_TEAM
2023-10-08 12:30:00+00:00,AFC Ajax,AZ,1,2,AWAY_TEAM
2023-10-08 14:45:00+00:00,Sparta Rotterdam,PSV,0,4,AWAY_TEAM
2023-10-21 16:45:00+00:00,PSV,Fortuna Sittard,3,1,HOME_TEAM
2023-10-21 16:45:00+00:00,RKC Waalwijk,FC Volendam,2,1,HOME_TEAM
2023-10-21 18:00:00+00:00,NEC,Almere City FC,1,1,DRAW
2023-10-21 19:00:00+00:00,Feyenoord Rotterdam,SBV Vitesse,4,0,HOME_TEAM
2023-10-21 19:00:00+00:00,AZ,SC Heerenveen,3,0,HOME_TEAM
2023-10-22 10:15:00+00:00,FC Utrecht,AFC Ajax,4,3,HOME_TEAM
2023-10-22 12:30:00+00:00,Heracles Almelo,FC Twente '65,2,2,DRAW
2023-10-22 12:30:00+00:00,SBV Excelsior,PEC Zwolle,2,4,AWAY_TEAM
2023-10-22 14:45:00+00:00,Go Ahead Eagles,Sparta Rotterdam,0,0,DRAW
2023-10-27 18:00:00+00:00,SBV Vitesse,PEC Zwolle,1,1,DRAW
2023-10-28 16:45:00+00:00,SC Heerenveen,Heracles Almelo,3,0,HOME_TEAM
2023-10-28 18:00:00+00:00,Almere City FC,Go Ahead Eagles,0,0,DRAW
2023-10-28 18:00:00+00:00,Sparta Rotterdam,RKC Waalwijk,2,0,HOME_TEAM
2023-10-28 19:00:00+00:00,Fortuna Sittard,FC Utrecht,0,0,DRAW
2023-10-29 11:15:00+00:00,FC Twente '65,Feyenoord Rotterdam,2,1,HOME_TEAM
2023-10-29 13:30:00+00:00,FC Volendam,SBV Excelsior,3,1,HOME_TEAM
2023-10-29 13:30:00+00:00,PSV,AFC Ajax,5,2,HOME_TEAM
2023-11-02 19:00:00+00:00,AFC Ajax,FC Volendam,2,0,HOME_TEAM
2023-11-04 15:30:00+00:00,Heracles Almelo,PSV,0,6,AWAY_TEAM
2023-11-04 17:45:00+00:00,SBV Excelsior,AZ,1,1,DRAW
2023-11-04 17:45:00+00:00,RKC Waalwijk,Feyenoord Rotterdam,1,2,AWAY_TEAM
2023-11-04 20:00:00+00:00,Go Ahead Eagles,SBV Vitesse,5,1,HOME_TEAM
2023-11-05 11:15:00+00:00,FC Utrecht,FC Twente '65,1,1,DRAW
2023-11-05 13:30:00+00:00,PEC Zwolle,Fortuna Sittard,2,0,HOME_TEAM
2023-11-05 13:30:00+00:00,NEC,FC Volendam,3,3,DRAW
2023-11-05 15:45:00+00:00,AFC Ajax,SC Heerenveen,4,1,HOME_TEAM
2023-11-05 15:45:00+00:00,Sparta Rotterdam,Almere City FC,1,2,AWAY_TEAM
2023-11-10 19:00:00+00:00,Fortuna Sittard,Heracles Almelo,4,1,HOME_TEAM
2023-11-11 17:45:00+00:00,RKC Waalwijk,Go Ahead Eagles,0,1,AWAY_TEAM
2023-11-11 19:00:00+00:00,FC Twente '65,NEC,3,3,DRAW
2023-11-11 20:00:00+00:00,SBV Vitesse,SC Heerenveen,1,3,AWAY_TEAM
2023-11-12 11:15:00+00:00,PSV,PEC Zwolle,4,0,HOME_TEAM
2023-11-12 13:30:00+00:00,FC Volendam,Sparta Rotterdam,1,4,AWAY_TEAM
2023-11-12 13:30:00+00:00,Almere City FC,AFC Ajax,2,2,DRAW
2023-11-12 15:45:00+00:00,Feyenoord Rotterdam,AZ,1,0,HOME_TEAM
2023-11-12 19:00:00+00:00,FC Utrecht,SBV Excelsior,2,2,DRAW
2023-11-25 15:30:00+00:00,SBV Excelsior,Feyenoord Rotterdam,2,4,AWAY_TEAM
2023-11-25 17:45:00+00:00,SC Heerenveen,Fortuna Sittard,3,0,HOME_TEAM
2023-11-25 17:45:00+00:00,FC Twente '65,PSV,0,3,AWAY_TEAM
2023-11-25 20:00:00+00:00,PEC Zwolle,RKC Waalwijk,1,2,AWAY_TEAM
2023-11-25 20:00:00+00:00,AFC Ajax,SBV Vitesse,5,0,HOME_TEAM
2023-11-26 11:15:00+00:00,Almere City FC,Heracles Almelo,0,5,AWAY_TEAM
2023-11-26 13:30:00+00:00,AZ,FC Volendam,3,0,HOME_TEAM
2023-11-26 13:30:00+00:00,NEC,Go Ahead Eagles,1,1,DRAW
2023-11-26 15:45:00+00:00,Sparta Rotterdam,FC Utrecht,1,2,AWAY_TEAM
2023-12-01 19:00:00+00:00,SC Heerenveen,Almere City FC,3,0,HOME_TEAM
2023-12-02 17:45:00+00:00,FC Volendam,PEC Zwolle,0,5,AWAY_TEAM
2023-12-02 19:00:00+00:00,Fortuna Sittard,SBV Vitesse,3,1,HOME_TEAM
2023-12-02 19:00:00+00:00,RKC Waalwijk,SBV Excelsior,2,2,DRAW
2023-12-02 20:00:00+00:00,Heracles Almelo,Sparta Rotterdam,0,1,AWAY_TEAM
2023-12-03 11:15:00+00:00,Feyenoord Rotterdam,PSV,1,2,AWAY_TEAM
2023-12-03 13:30:00+00:00,NEC,AFC Ajax,1,2,AWAY_TEAM
2023-12-03 13:30:00+00:00,Go Ahead Eagles,FC Twente '65,1,3,AWAY_TEAM
2023-12-03 15:45:00+00:00,FC Utrecht,AZ,1,1,DRAW
2023-12-06 18:00:00+00:00,AZ,NEC,1,2,AWAY_TEAM
2023-12-06 19:00:00+00:00,RKC Waalwijk,AFC Ajax,2,3,AWAY_TEAM
2023-12-07 17:45:00+00:00,PSV,SC Heerenveen,2,0,HOME_TEAM
2023-12-07 20:00:00+00:00,Feyenoord Rotterdam,FC Volendam,3,1,HOME_TEAM
2023-12-08 19:00:00+00:00,FC Twente '65,SBV Excelsior,4,2,HOME_TEAM
2023-12-09 17:45:00+00:00,AFC Ajax,Sparta Rotterdam,2,1,HOME_TEAM
2023-12-09 19:00:00+00:00,PEC Zwolle,NEC,1,3,AWAY_TEAM
2023-12-09 20:00:00+00:00,AZ,Almere City FC,4,1,HOME_TEAM
2023-12-10 11:15:00+00:00,Go Ahead Eagles,FC Utrecht,0,2,AWAY_TEAM
2023-12-10 13:30:00+00:00,Fortuna Sittard,RKC Waalwijk,1,0,HOME_TEAM
2023-12-10 15:45:00+00:00,SBV Vitesse,Heracles Almelo,2,0,HOME_TEAM
2023-12-15 19:00:00+00:00,NEC,Fortuna Sittard,4,1,HOME_TEAM
2023-12-16 15:30:00+00:00,FC Utrecht,RKC Waalwijk,1,1,DRAW
2023-12-16 17:45:00+00:00,SBV Excelsior,Go Ahead Eagles,1,1,DRAW
2023-12-16 20:00:00+00:00,SC Heerenveen,FC Volendam,1,2,AWAY_TEAM
2023-12-17 11:15:00+00:00,Almere City FC,SBV Vitesse,5,0,HOME_TEAM
2023-12-17 13:30:00+00:00,Sparta Rotterdam,FC Twente '65,2,2,DRAW
2023-12-17 13:30:00+00:00,Heracles Almelo,Feyenoord Rotterdam,0,4,AWAY_TEAM
2023-12-17 15:45:00+00:00,AFC Ajax,PEC Zwolle,2,2,DRAW
2023-12-17 19:00:00+00:00,AZ,PSV,0,4,AWAY_TEAM
