date,homeTeam,awayTeam,homeGoals,awayGoals,winner
2025-03-01 17:45:00+00:00,Go Ahead Eagles,PSV,3,2,HOME_TEAM
2025-03-01 19:00:00+00:00,FC Groningen,FC Twente '65,1,1,DRAW
2025-03-01 20:00:00+00:00,Feyenoord Rotterdam,NEC,0,0,DRAW
2025-03-02 11:15:00+00:00,SC Heerenveen,AZ,3,1,HOME_TEAM
2025-03-02 13:30:00+00:00,Almere City FC,AFC Ajax,0,1,AWAY_TEAM
2025-03-02 13:30:00+00:00,Heracles Almelo,PEC Zwolle,4,2,HOME_TEAM
2025-03-02 15:45:00+00:00,Sparta Rotterdam,Willem II Tilburg,4,0,HOME_TEAM
2025-03-07 19:00:00+00:00,NAC Breda,Sparta Rotterdam,1,1,DRAW
2025-03-08 15:30:00+00:00,Fortuna Sittard,Heracles Almelo,1,0,HOME_TEAM
2025-03-08 19:00:00+00:00,PSV,SC Heerenveen,2,1,HOME_TEAM
2025-03-09 11:15:00+00:00,Willem II Tilburg,FC Utrecht,2,3,AWAY_TEAM
2025-03-09 13:30:00+00:00,NEC,Go Ahead Eagles,2,3,AWAY_TEAM
2025-03-09 13:30:00+00:00,PEC Zwolle,AFC Ajax,0,1,AWAY_TEAM
2025-03-09 15:45:00+00:00,FC Twente '65,Almere City FC,1,0,HOME_TEAM
2025-03-14 19:00:00+00:00,Almere City FC,NAC Breda,1,1,DRAW
2025-03-15 15:30:00+00:00,FC Utrecht,NEC,0,1,AWAY_TEAM
2025-03-15 17:45:00+00:00,Sparta Rotterdam,PEC Zwolle,1,1,DRAW
2025-03-15 19:00:00+00:00,RKC Waalwijk,PSV,0,3,AWAY_TEAM
2025-03-15 20:00:00+00:00,SC Heerenveen,Heracles Almelo,1,1,DRAW
2025-03-16 11:15:00+00:00,Go Ahead Eagles,Willem II Tilburg,1,0,HOME_TEAM
2025-03-16 13:30:00+00:00,FC Groningen,Fortuna Sittard,1,0,HOME_TEAM
2025-03-16 13:30:00+00:00,FC Twente '65,Feyenoord Rotterdam,2,6,AWAY_TEAM
2025-03-16 15:45:00+00:00,AFC Ajax,AZ,2,2,DRAW
2025-03-29 15:30:00+00:00,NAC Breda,FC Groningen,1,1,DRAW
2025-03-29 17:45:00+00:00,Fortuna Sittard,Sparta Rotterdam,0,3,AWAY_TEAM
2025-03-29 17:45:00+00:00,Willem II Tilburg,Almere City FC,0,2,AWAY_TEAM
2025-03-29 20:00:00+00:00,PEC Zwolle,RKC Waalwijk,2,0,HOME_TEAM
2025-03-29 20:00:00+00:00,NEC,AZ,3,3,DRAW
2025-03-30 10:15:00+00:00,FC Utrecht,SC Heerenveen,2,0,HOME_TEAM
2025-03-30 12:30:00+00:00,Heracles Almelo,FC Twente '65,2,1,HOME_TEAM
2025-03-30 12:30:00+00:00,PSV,AFC Ajax,0,2,AWAY_TEAM
2025-03-30 14:45:00+00:00,Feyenoord Rotterdam,Go Ahead Eagles,3,2,HOME_TEAM
2025-04-01 18:00:00+00:00,AZ,RKC Waalwijk,2,2,DRAW
2025-04-02 18:00:00+00:00,Feyenoord Rotterdam,FC Groningen,4,1,HOME_TEAM
2025-04-04 18:00:00+00:00,SC Heerenveen,Willem II Tilburg,3,1,HOME_TEAM
2025-04-05 14:30:00+00:00,AZ,Feyenoord Rotterdam,0,1,AWAY_TEAM
2025-04-05 16:45:00+00:00,FC Twente '65,Fortuna Sittard,1,1,DRAW
2025-04-05 18:00:00+00:00,FC Groningen,PSV,1,3,AWAY_TEAM
2025-04-05 19:00:00+00:00,Almere City FC,PEC Zwolle,2,2,DRAW
2025-04-06 10:15:00+00:00,RKC Waalwijk,Heracles Almelo,0,0,DRAW
2025-04-06 12:30:00+00:00,Go Ahead Eagles,FC Utrecht,2,2,DRAW
2025-04-06 12:30:00+00:00,Sparta Rotterdam,NEC,2,0,HOME_TEAM
2025-04-06 14:45:00+00:00,AFC Ajax,NAC Breda,3,1,HOME_TEAM
2025-04-11 18:00:00+00:00,NEC,RKC Waalwijk,2,1,HOME_TEAM
2025-04-12 14:30:00+00:00,Fortuna Sittard,Feyenoord Rotterdam,0,2,AWAY_TEAM
2025-04-12 16:45:00+00:00,Sparta Rotterdam,SC Heerenveen,3,1,HOME_TEAM
2025-04-12 18:00:00+00:00,PSV,Almere City FC,5,0,HOME_TEAM
2025-04-12 19:00:00+00:00,NAC Breda,Go Ahead Eagles,1,1,DRAW
2025-04-13 10:15:00+00:00,FC Utrecht,FC Groningen,3,1,HOME_TEAM
2025-04-13 12:30:00+00:00,Heracles Almelo,AZ,1,0,HOME_TEAM
2025-04-13 12:30:00+00:00,PEC Zwolle,FC Twente '65,1,1,DRAW
2025-04-13 14:45:00+00:00,Willem II Tilburg,AFC Ajax,1,2,AWAY_TEAM
2025-04-19 18:00:00+00:00,SC Heerenveen,Almere City FC,2,1,HOME_TEAM
2025-04-20 10:15:00+00:00,FC Utrecht,AFC Ajax,4,0,HOME_TEAM
2025-04-23 18:00:00+00:00,FC Groningen,Heracles Almelo,4,1,HOME_TEAM
2025-04-24 16:45:00+00:00,AZ,NAC Breda,1,1,DRAW
2025-04-24 19:00:00+00:00,FC Twente '65,PSV,1,3,AWAY_TEAM
2025-04-25 16:45:00+00:00,RKC Waalwijk,FC Utrecht,0,4,AWAY_TEAM
2025-04-25 19:00:00+00:00,Feyenoord Rotterdam,PEC Zwolle,4,0,HOME_TEAM
2025-04-27 10:15:00+00:00,Fortuna Sittard,Willem II Tilburg,1,0,HOME_TEAM
2025-04-27 12:30:00+00:00,AFC Ajax,Sparta Rotterdam,1,1,DRAW
2025-04-27 12:30:00+00:00,SC Heerenveen,NEC,1,0,HOME_TEAM
2025-04-27 14:45:00+00:00,Almere City FC,Go Ahead Eagles,0,0,DRAW
2025-05-03 14:30:00+00:00,NEC,Willem II Tilburg,1,1,DRAW
2025-05-03 16:45:00+00:00,Heracles Almelo,Feyenoord Rotterdam,1,4,AWAY_TEAM
2025-05-03 18:00:00+00:00,FC Groningen,RKC Waalwijk,6,1,HOME_TEAM
2025-05-03 19:00:00+00:00,PSV,Fortuna Sittard,4,1,HOME_TEAM
2025-05-04 10:15:00+00:00,NAC Breda,PEC Zwolle,1,3,AWAY_TEAM
2025-05-04 12:30:00+00:00,Go Ahead Eagles,AZ,0,3,AWAY_TEAM
2025-05-04 12:30:00+00:00,Sparta Rotterdam,FC Twente '65,0,2,AWAY_TEAM
2025-05-09 18:00:00+00:00,Willem II Tilburg,Heracles Almelo,1,2,AWAY_TEAM
2025-05-10 14:30:00+00:00,RKC Waalwijk,SC Heerenveen,3,1,HOME_TEAM
2025-05-10 16:45:00+00:00,Fortuna Sittard,NAC Breda,1,0,HOME_TEAM
2025-05-10 19:00:00+00:00,Almere City FC,Sparta Rotterdam,0,3,AWAY_TEAM
2025-05-11 10:15:00+00:00,PEC Zwolle,Go Ahead Eagles,1,1,DRAW
2025-05-11 12:30:00+00:00,Feyenoord Rotterdam,PSV,2,3,AWAY_TEAM
2025-05-11 12:30:00+00:00,FC Twente '65,FC Utrecht,2,0,HOME_TEAM
2025-05-11 14:45:00+00:00,AFC Ajax,NEC,0,3,AWAY_TEAM
2025-05-11 14:45:00+00:00,AZ,FC Groningen,3,0,HOME_TEAM
2025-05-14 18:00:00+00:00,Willem II Tilburg,PEC Zwolle,1,2,AWAY_TEAM
2025-05-14 18:00:00+00:00,FC Twente '65,AZ,2,3,AWAY_TEAM
2025-05-14 18:00:00+00:00,PSV,Heracles Almelo,4,1,HOME_TEAM
2025-05-14 18:00:00+00:00,NEC,NAC Breda,3,0,HOME_TEAM
2025-05-14 18:00:00+00:00,Feyenoord Rotterdam,RKC Waalwijk,2,0,HOME_TEAM
2025-05-14 18:00:00+00:00,FC Utrecht,Sparta Rotterdam,1,1,DRAW
2025-05-14 18:00:00+00:00,FC Groningen,AFC Ajax,2,2,DRAW
2025-05-14 18:00:00+00:00,Almere City FC,Fortuna Sittard,1,1,DRAW
2025-05-14 18:00:00+00:00,Go Ahead Eagles,SC Heerenveen,1,0,HOME_TEAM
2025-05-18 12:30:00+00:00,PEC Zwolle,FC Groningen,2,0,HOME_TEAM
2025-05-18 12:30:00+00:00,Sparta Rotterdam,PSV,1,3,AWAY_TEAM
2025-05-18 12:30:00+00:00,RKC Waalwijk,Go Ahead Eagles,5,3,HOME_TEAM
2025-05-18 12:30:00+00:00,NAC Breda,Willem II Tilburg,1,1,DRAW
2025-05-18 12:30:00+00:00,SC Heerenveen,Feyenoord Rotterdam,2,0,HOME_TEAM
2025-05-18 12:30:00+00:00,Fortuna Sittard,FC Utrecht,0,0,DRAW
2025-05-18 12:30:00+00:00,AFC Ajax,FC Twente '65,2,0,HOME_TEAM
2025-05-18 12:30:00+00:00,Heracles Almelo,NEC,1,2,AWAY_TEAM
2025-05-18 12:30:00+00:00,AZ,Almere City FC,1,1,DRAW
2025-08-08 18:00:00+00:00,Fortuna Sittard,Go Ahead Eagles,2,2,DRAW
2025-08-09 14:30:00+00:00,NEC,SBV Excelsior,5,0,HOME_TEAM
2025-08-09 16:45:00+00:00,Feyenoord Rotterdam,NAC Breda,2,0,HOME_TEAM
2025-08-09 18:00:00+00:00,SC Heerenveen,FC Volendam,1,1,DRAW
2025-08-09 19:00:00+00:00,PSV,Sparta Rotterdam,6,1,HOME_TEAM
2025-08-10 10:15:00+00:00,PEC Zwolle,FC Twente '65,1,0,HOME_TEAM
2025-08-10 12:30:00+00:00,AZ,FC Groningen,4,1,HOME_TEAM
2025-08-10 12:30:00+00:00,AFC Ajax,Telstar 1963,2,0,HOME_TEAM
2025-08-10 14:45:00+00:00,FC Utrecht,Heracles Almelo,4,0,HOME_TEAM
2025-08-15 18:00:00+00:00,Telstar 1963,PEC Zwolle,0,2,AWAY_TEAM
2025-08-16 16:45:00+00:00,SBV Excelsior,Feyenoord Rotterdam,1,2,AWAY_TEAM
2025-08-16 18:00:00+00:00,Heracles Almelo,NEC,1,4,AWAY_TEAM
2025-08-16 19:00:00+00:00,FC Groningen,SC Heerenveen,2,1,HOME_TEAM
2025-08-17 10:15:00+00:00,Go Ahead Eagles,AFC Ajax,2,2,DRAW
2025-08-17 12:30:00+00:00,Sparta Rotterdam,FC Utrecht,2,1,HOME_TEAM
2025-08-17 12:30:00+00:00,FC Twente '65,PSV,0,2,AWAY_TEAM
2025-08-17 14:45:00+00:00,FC Volendam,AZ,2,2,DRAW
2025-08-17 18:00:00+00:00,NAC Breda,Fortuna Sittard,2,1,HOME_TEAM
2025-08-23 14:30:00+00:00,Go Ahead Eagles,Sparta Rotterdam,0,3,AWAY_TEAM
2025-08-23 16:45:00+00:00,PSV,FC Groningen,4,2,HOME_TEAM
2025-08-23 19:00:00+00:00,Telstar 1963,FC Volendam,2,2,DRAW
2025-08-24 10:15:00+00:00,SC Heerenveen,FC Twente '65,1,2,AWAY_TEAM
2025-08-24 12:30:00+00:00,FC Utrecht,SBV Excelsior,4,1,HOME_TEAM
2025-08-24 12:30:00+00:00,NEC,NAC Breda,3,0,HOME_TEAM
2025-08-24 14:45:00+00:00,AFC Ajax,Heracles Almelo,2,0,HOME_TEAM
2025-08-29 18:00:00+00:00,FC Groningen,Heracles Almelo,4,0,HOME_TEAM
2025-08-30 14:30:00+00:00,FC Volendam,AFC Ajax,1,1,DRAW
2025-08-30 16:45:00+00:00,SC Heerenveen,Go Ahead Eagles,2,2,DRAW
2025-08-30 18:00:00+00:00,PSV,Telstar 1963,0,2,AWAY_TEAM
2025-08-30 19:00:00+00:00,SBV Excelsior,FC Twente '65,1,0,HOME_TEAM
2025-08-31 10:15:00+00:00,Fortuna Sittard,NEC,3,2,HOME_TEAM
2025-08-31 12:30:00+00:00,PEC Zwolle,FC Utrecht,0,2,AWAY_TEAM
2025-08-31 12:30:00+00:00,Sparta Rotterdam,Feyenoord Rotterdam,0,4,AWAY_TEAM
2025-08-31 14:45:00+00:00,NAC Breda,AZ,0,1,AWAY_TEAM
2025-09-13 14:30:00+00:00,AFC Ajax,PEC Zwolle,3,1,HOME_TEAM
2025-09-13 16:45:00+00:00,NEC,PSV,3,5,AWAY_TEAM
2025-09-13 17:10:00+00:00,Go Ahead Eagles,FC Volendam,3,0,HOME_TEAM
2025-09-13 19:00:00+00:00,Feyenoord Rotterdam,SC Heerenveen,1,0,HOME_TEAM
2025-09-13 19:00:00+00:00,FC Twente '65,NAC Breda,2,2,DRAW
2025-09-14 10:15:00+00:00,SBV Excelsior,Sparta Rotterdam,0,1,AWAY_TEAM
2025-09-14 12:30:00+00:00,FC Utrecht,FC Groningen,0,1,AWAY_TEAM
2025-09-14 12:30:00+00:00,Heracles Almelo,AZ,1,2,AWAY_TEAM
2025-09-14 14:45:00+00:00,Telstar 1963,Fortuna Sittard,1,3,AWAY_TEAM
2025-09-17 18:00:00+00:00,Feyenoord Rotterdam,Fortuna Sittard,2,0,HOME_TEAM
2025-09-19 18:00:00+00:00,Sparta Rotterdam,FC Twente '65,1,5,AWAY_TEAM
2025-09-20 14:30:00+00:00,FC Volendam,SBV Excelsior,1,2,AWAY_TEAM
2025-09-20 16:45:00+00:00,FC Groningen,Telstar 1963,2,0,HOME_TEAM
2025-09-20 18:00:00+00:00,Fortuna Sittard,FC Utrecht,1,0,HOME_TEAM
2025-09-20 19:00:00+00:00,NAC Breda,Heracles Almelo,2,1,HOME_TEAM
2025-09-21 10:15:00+00:00,PEC Zwolle,Go Ahead Eagles,0,2,AWAY_TEAM
2025-09-21 12:30:00+00:00,PSV,AFC Ajax,2,2,DRAW
2025-09-21 12:30:00+00:00,SC Heerenveen,NEC,3,2,HOME_TEAM
2025-09-21 14:45:00+00:00,AZ,Feyenoord Rotterdam,3,3,DRAW
2025-09-24 18:00:00+00:00,AZ,PEC Zwolle,2,2,DRAW
2025-09-26 18:00:00+00:00,FC Twente '65,Fortuna Sittard,3,2,HOME_TEAM
2025-09-27 14:30:00+00:00,AFC Ajax,NAC Breda,2,1,HOME_TEAM
2025-09-27 16:45:00+00:00,FC Volendam,PEC Zwolle,2,1,HOME_TEAM
2025-09-27 18:00:00+00:00,SBV Excelsior,PSV,1,2,AWAY_TEAM
2025-09-27 19:00:00+00:00,Heracles Almelo,Sparta Rotterdam,3,0,HOME_TEAM
2025-09-28 10:15:00+00:00,NEC,AZ,2,1,HOME_TEAM
2025-09-28 12:30:00+00:00,FC Groningen,Feyenoord Rotterdam,0,1,AWAY_TEAM
2025-09-28 12:30:00+00:00,FC Utrecht,SC Heerenveen,2,2,DRAW
2025-09-28 14:45:00+00:00,Telstar 1963,Go Ahead Eagles,4,2,HOME_TEAM
2025-10-03 18:00:00+00:00,NAC Breda,FC Groningen,1,2,AWAY_TEAM
2025-10-04 14:30:00+00:00,Sparta Rotterdam,AFC Ajax,3,3,DRAW
2025-10-04 16:45:00+00:00,Fortuna Sittard,FC Volendam,1,0,HOME_TEAM
2025-10-04 18:00:00+00:00,PEC Zwolle,PSV,0,4,AWAY_TEAM
2025-10-04 19:00:00+00:00,SC Heerenveen,SBV Excelsior,2,1,HOME_TEAM
2025-10-05 10:15:00+00:00,FC Twente '65,Heracles Almelo,2,1,HOME_TEAM
2025-10-05 12:30:00+00:00,Feyenoord Rotterdam,FC Utrecht,3,2,HOME_TEAM
2025-10-05 14:45:00+00:00,AZ,Telstar 1963,2,1,HOME_TEAM
2025-10-05 18:00:00+00:00,Go Ahead Eagles,NEC,1,1,DRAW
2025-10-18 14:45:00+00:00,NEC,FC Twente '65,3,3,DRAW
2025-10-18 16:45:00+00:00,PSV,Go Ahead Eagles,2,1,HOME_TEAM
2025-10-18 16:45:00+00:00,FC Utrecht,FC Volendam,3,1,HOME_TEAM
2025-10-18 19:00:00+00:00,AFC Ajax,AZ,0,2,AWAY_TEAM
2025-10-18 19:00:00+00:00,NAC Breda,PEC Zwolle,2,2,DRAW
2025-10-19 10:15:00+00:00,Telstar 1963,SC Heerenveen,2,3,AWAY_TEAM
2025-10-19 12:30:00+00:00,FC Groningen,Sparta Rotterdam,0,2,AWAY_TEAM
2025-10-19 12:30:00+00:00,SBV Excelsior,Fortuna Sittard,1,0,HOME_TEAM
2025-10-19 14:45:00+00:00,Heracles Almelo,Feyenoord Rotterdam,0,7,AWAY_TEAM
2025-10-24 18:00:00+00:00,SC Heerenveen,NAC Breda,3,3,DRAW
2025-10-25 14:40:00+00:00,Fortuna Sittard,FC Groningen,1,2,AWAY_TEAM
2025-10-25 16:45:00+00:00,Sparta Rotterdam,Telstar 1963,1,0,HOME_TEAM
2025-10-25 18:00:00+00:00,FC Volendam,Heracles Almelo,3,0,HOME_TEAM
2025-10-25 19:00:00+00:00,PEC Zwolle,NEC,2,2,DRAW
2025-10-26 11:15:00+00:00,FC Twente '65,AFC Ajax,2,3,AWAY_TEAM
2025-10-26 13:30:00+00:00,Feyenoord Rotterdam,PSV,2,3,AWAY_TEAM
2025-10-26 15:45:00+00:00,AZ,FC Utrecht,4,1,HOME_TEAM
2025-10-26 19:00:00+00:00,Go Ahead Eagles,SBV Excelsior,2,0,HOME_TEAM
2025-10-31 19:00:00+00:00,PSV,Fortuna Sittard,5,2,HOME_TEAM
2025-11-01 15:30:00+00:00,AFC Ajax,SC Heerenveen,1,1,DRAW
2025-11-01 17:45:00+00:00,NAC Breda,Go Ahead Eagles,1,0,HOME_TEAM
2025-11-01 19:00:00+00:00,Feyenoord Rotterdam,FC Volendam,3,1,HOME_TEAM
2025-11-01 20:00:00+00:00,Telstar 1963,SBV Excelsior,2,2,DRAW
2025-11-02 11:15:00+00:00,Heracles Almelo,PEC Zwolle,8,2,HOME_TEAM
2025-11-02 13:30:00+00:00,FC Groningen,FC Twente '65,1,1,DRAW
2025-11-02 13:30:00+00:00,Sparta Rotterdam,AZ,0,1,AWAY_TEAM
2025-11-02 15:45:00+00:00,FC Utrecht,NEC,1,0,HOME_TEAM
2025-11-07 19:00:00+00:00,FC Twente '65,Telstar 1963,0,0,DRAW
2025-11-08 15:30:00+00:00,SBV Excelsior,Heracles Almelo,1,2,AWAY_TEAM
2025-11-08 17:45:00+00:00,FC Volendam,NAC Breda,2,1,HOME_TEAM
2025-11-08 19:00:00+00:00,Fortuna Sittard,SC Heerenveen,2,0,HOME_TEAM
2025-11-08 20:00:00+00:00,PEC Zwolle,Sparta Rotterdam,1,0,HOME_TEAM
2025-11-09 11:15:00+00:00,FC Utrecht,AFC Ajax,2,1,HOME_TEAM
2025-11-09 13:30:00+00:00,NEC,FC Groningen,2,0,HOME_TEAM
2025-11-09 15:45:00+00:00,AZ,PSV,1,5,AWAY_TEAM
2025-11-09 19:00:00+00:00,Go Ahead Eagles,Feyenoord Rotterdam,2,1,HOME_TEAM
2025-11-22 15:30:00+00:00,NAC Breda,PSV,0,1,AWAY_TEAM
2025-11-22 17:45:00+00:00,AFC Ajax,SBV Excelsior,1,2,AWAY_TEAM
2025-11-22 17:45:00+00:00,FC Volendam,FC Twente '65,1,1,DRAW
2025-11-22 20:00:00+00:00,Heracles Almelo,Go Ahead Eagles,4,2,HOME_TEAM
2025-11-22 20:00:00+00:00,Sparta Rotterdam,Fortuna Sittard,1,1,DRAW
2025-11-23 11:15:00+00:00,SC Heerenveen,AZ,3,1,HOME_TEAM
2025-11-23 13:30:00+00:00,Feyenoord Rotterdam,NEC,2,4,AWAY_TEAM
2025-11-23 13:30:00+00:00,Telstar 1963,FC Utrecht,1,1,DRAW
2025-11-23 15:45:00+00:00,FC Groningen,PEC Zwolle,2,2,DRAW
2025-11-28 19:00:00+00:00,PEC Zwolle,SC Heerenveen,2,1,HOME_TEAM
2025-11-29 15:30:00+00:00,SBV Excelsior,NAC Breda,1,0,HOME_TEAM
2025-11-29 17:45:00+00:00,Fortuna Sittard,Heracles Almelo,1,1,DRAW
2025-11-29 20:00:00+00:00,NEC,Sparta Rotterdam,3,1,HOME_TEAM
2025-11-30 11:15:00+00:00,PSV,FC Volendam,3,0,HOME_TEAM
2025-11-30 13:30:00+00:00,Telstar 1963,Feyenoord Rotterdam,1,2,AWAY_TEAM
2025-11-30 13:30:00+00:00,Go Ahead Eagles,FC Utrecht,2,2,DRAW
2025-11-30 15:45:00+00:00,FC Twente '65,AZ,1,0,HOME_TEAM
2025-12-02 13:30:00+00:00,AFC Ajax,FC Groningen,2,0,HOME_TEAM
2025-12-05 19:00:00+00:00,SBV Excelsior,FC Groningen,0,2,AWAY_TEAM
2025-12-06 15:30:00+00:00,SC Heerenveen,PSV,0,2,AWAY_TEAM
2025-12-06 17:45:00+00:00,Fortuna Sittard,AFC Ajax,1,3,AWAY_TEAM
2025-12-06 19:00:00+00:00,Heracles Almelo,Telstar 1963,1,1,DRAW
2025-12-06 20:00:00+00:00,Feyenoord Rotterdam,PEC Zwolle,6,1,HOME_TEAM
2025-12-07 11:15:00+00:00,FC Utrecht,FC Twente '65,1,1,DRAW
2025-12-07 13:30:00+00:00,FC Volendam,NEC,2,3,AWAY_TEAM
2025-12-07 13:30:00+00:00,AZ,Go Ahead Eagles,2,2,DRAW
2025-12-07 15:45:00+00:00,Sparta Rotterdam,NAC Breda,1,0,HOME_TEAM
2025-12-13 15:30:00+00:00,Telstar 1963,NEC,2,2,DRAW
2025-12-13 17:45:00+00:00,FC Groningen,FC Volendam,3,0,HOME_TEAM
2025-12-13 19:00:00+00:00,PSV,Heracles Almelo,4,3,HOME_TEAM
2025-12-13 20:00:00+00:00,PEC Zwolle,Fortuna Sittard,1,0,HOME_TEAM
2025-12-14 11:15:00+00:00,Sparta Rotterdam,SC Heerenveen,0,3,AWAY_TEAM
2025-12-14 13:30:00+00:00,AFC Ajax,Feyenoord Rotterdam,2,0,HOME_TEAM
2025-12-14 13:30:00+00:00,FC Twente '65,Go Ahead Eagles,2,0,HOME_TEAM
2025-12-14 15:45:00+00:00,NAC Breda,FC Utrecht,1,1,DRAW
2025-12-20 15:30:00+00:00,Heracles Almelo,SC Heerenveen,0,3,AWAY_TEAM
2025-12-20 17:45:00+00:00,SBV Excelsior,PEC Zwolle,2,1,HOME_TEAM
2025-12-20 19:00:00+00:00,NEC,AFC Ajax,2,2,DRAW
2025-12-20 20:00:00+00:00,NAC Breda,Telstar 1963,0,1,AWAY_TEAM
2025-12-21 11:15:00+00:00,FC Utrecht,PSV,1,2,AWAY_TEAM
2025-12-21 13:30:00+00:00,Feyenoord Rotterdam,FC Twente '65,1,1,DRAW
2025-12-21 13:30:00+00:00,Go Ahead Eagles,FC Groningen,1,1,DRAW
2025-12-21 15:45:00+00:00,FC Volendam,Sparta Rotterdam,0,1,AWAY_TEAM
