date,homeTeam,awayTeam,homeGoals,awayGoals,winner
2025-01-10 19:00:00+00:00,Fortuna Sittard,Go Ahead Eagles,0,3,AWAY_TEAM
2025-01-11 15:30:00+00:00,Heracles Almelo,Sparta Rotterdam,1,1,DRAW
2025-01-11 17:45:00+00:00,AFC Ajax,RKC Waalwijk,2,1,HOME_TEAM
2025-01-11 19:00:00+00:00,PEC Zwolle,NEC,0,1,AWAY_TEAM
2025-01-11 20:00:00+00:00,PSV,AZ,2,2,DRAW
2025-01-12 11:15:00+00:00,FC Twente '65,Willem II Tilburg,6,2,HOME_TEAM
2025-01-12 13:30:00+00:00,FC Groningen,Almere City FC,0,0,DRAW
2025-01-12 13:30:00+00:00,Feyenoord Rotterdam,FC Utrecht,1,2,AWAY_TEAM
2025-01-12 15:45:00+00:00,NAC Breda,SC Heerenveen,2,4,AWAY_TEAM
2025-01-18 15:30:00+00:00,PEC Zwolle,PSV,3,1,HOME_TEAM
2025-01-18 17:45:00+00:00,FC Utrecht,AZ,0,0,DRAW
2025-01-18 19:00:00+00:00,Willem II Tilburg,Feyenoord Rotterdam,1,1,DRAW
2025-01-18 20:00:00+00:00,Go Ahead Eagles,FC Groningen,2,1,HOME_TEAM
2025-01-19 11:15:00+00:00,NAC Breda,FC Twente '65,2,1,HOME_TEAM
2025-01-19 13:30:00+00:00,Almere City FC,Heracles Almelo,0,2,AWAY_TEAM
2025-01-19 13:30:00+00:00,SC Heerenveen,AFC Ajax,0,2,AWAY_TEAM
2025-01-19 15:45:00+00:00,NEC,Fortuna Sittard,4,1,HOME_TEAM
2025-01-19 19:00:00+00:00,Sparta Rotterdam,RKC Waalwijk,1,1,DRAW
2025-01-24 19:00:00+00:00,Heracles Almelo,FC Utrecht,1,1,DRAW
2025-01-25 17:45:00+00:00,PSV,NAC Breda,3,2,HOME_TEAM
2025-01-25 20:15:00+00:00,FC Groningen,SC Heerenveen,1,0,HOME_TEAM
2025-01-26 11:15:00+00:00,Fortuna Sittard,PEC Zwolle,1,4,AWAY_TEAM
2025-01-26 13:30:00+00:00,RKC Waalwijk,Willem II Tilburg,2,0,HOME_TEAM
2025-01-26 15:45:00+00:00,AZ,Sparta Rotterdam,1,2,AWAY_TEAM
2025-01-28 19:00:00+00:00,Heracles Almelo,FC Groningen,1,1,DRAW
2025-01-31 19:00:00+00:00,NAC Breda,Heracles Almelo,1,1,DRAW
2025-02-01 17:45:00+00:00,PEC Zwolle,FC Utrecht,3,3,DRAW
2025-02-01 19:00:00+00:00,SC Heerenveen,Fortuna Sittard,2,2,DRAW
2025-02-01 20:00:00+00:00,NEC,PSV,3,3,DRAW
2025-02-02 11:15:00+00:00,Almere City FC,RKC Waalwijk,1,4,AWAY_TEAM
2025-02-02 13:30:00+00:00,AFC Ajax,Feyenoord Rotterdam,2,1,HOME_TEAM
2025-02-02 13:30:00+00:00,Go Ahead Eagles,FC Twente '65,2,2,DRAW
2025-02-02 15:45:00+00:00,Sparta Rotterdam,FC Groningen,1,0,HOME_TEAM
2025-02-02 19:00:00+00:00,Willem II Tilburg,AZ,0,2,AWAY_TEAM
2025-02-08 15:30:00+00:00,Heracles Almelo,Go Ahead Eagles,4,2,HOME_TEAM
2025-02-08 17:45:00+00:00,PSV,Willem II Tilburg,1,1,DRAW
2025-02-08 19:00:00+00:00,FC Groningen,NEC,2,1,HOME_TEAM
2025-02-08 20:00:00+00:00,Feyenoord Rotterdam,Sparta Rotterdam,3,0,HOME_TEAM
2025-02-09 11:15:00+00:00,FC Utrecht,Almere City FC,0,1,AWAY_TEAM
2025-02-09 13:30:00+00:00,Fortuna Sittard,AFC Ajax,0,2,AWAY_TEAM
2025-02-09 13:30:00+00:00,RKC Waalwijk,NAC Breda,5,0,HOME_TEAM
2025-02-09 15:45:00+00:00,AZ,PEC Zwolle,2,0,HOME_TEAM
2025-02-09 15:45:00+00:00,SC Heerenveen,FC Twente '65,3,3,DRAW
2025-02-14 19:00:00+00:00,Go Ahead Eagles,Sparta Rotterdam,1,0,HOME_TEAM
2025-02-15 15:30:00+00:00,PSV,FC Utrecht,2,2,DRAW
2025-02-15 17:45:00+00:00,NAC Breda,Feyenoord Rotterdam,0,0,DRAW
2025-02-15 20:00:00+00:00,Willem II Tilburg,FC Groningen,1,3,AWAY_TEAM
2025-02-16 11:15:00+00:00,NEC,Almere City FC,2,2,DRAW
2025-02-16 13:30:00+00:00,PEC Zwolle,SC Heerenveen,1,1,DRAW
2025-02-16 13:30:00+00:00,FC Twente '65,RKC Waalwijk,2,0,HOME_TEAM
2025-02-16 15:45:00+00:00,AFC Ajax,Heracles Almelo,4,0,HOME_TEAM
2025-02-22 19:00:00+00:00,Feyenoord Rotterdam,Almere City FC,2,1,HOME_TEAM
2025-02-23 13:30:00+00:00,AFC Ajax,Go Ahead Eagles,2,0,HOME_TEAM
2025-02-23 13:30:00+00:00,FC Twente '65,NEC,2,0,HOME_TEAM
2025-02-23 15:45:00+00:00,AZ,Fortuna Sittard,1,0,HOME_TEAM
2025-02-28 19:00:00+00:00,RKC Waalwijk,Fortuna Sittard,1,2,AWAY_TEAM
2025-03-01 15:30:00+00:00,FC Utrecht,NAC Breda,1,0,HOME_TEAM
