date,homeTeam,awayTeam,homeGoals,awayGoals,winner
2024-03-03 13:30:00+00:00,SC Heerenveen,PEC Zwolle,2,0,HOME_TEAM
2024-03-03 15:45:00+00:00,Fortuna Sittard,SBV Excelsior,5,2,HOME_TEAM
2024-03-03 19:00:00+00:00,Heracles Almelo,Almere City FC,2,2,DRAW
2024-03-08 19:00:00+00:00,Go Ahead Eagles,PSV,0,1,AWAY_TEAM
2024-03-09 17:45:00+00:00,FC Twente '65,Sparta Rotterdam,2,1,HOME_TEAM
2024-03-09 19:00:00+00:00,Almere City FC,FC Utrecht,1,1,DRAW
2024-03-09 20:00:00+00:00,RKC Waalwijk,SBV Vitesse,3,1,HOME_TEAM
2024-03-10 11:15:00+00:00,AZ,SBV Excelsior,4,0,HOME_TEAM
2024-03-10 13:30:00+00:00,AFC Ajax,Fortuna Sittard,2,2,DRAW
2024-03-10 13:30:00+00:00,PEC Zwolle,FC Volendam,1,1,DRAW
2024-03-10 15:45:00+00:00,NEC,SC Heerenveen,2,0,HOME_TEAM
2024-03-10 19:00:00+00:00,Feyenoord Rotterdam,Heracles Almelo,3,0,HOME_TEAM
2024-03-15 19:00:00+00:00,Heracles Almelo,Go Ahead Eagles,2,0,HOME_TEAM
2024-03-16 17:45:00+00:00,Fortuna Sittard,PEC Zwolle,3,1,HOME_TEAM
2024-03-16 19:00:00+00:00,SBV Excelsior,RKC Waalwijk,1,1,DRAW
2024-03-16 20:00:00+00:00,SBV Vitesse,Almere City FC,1,1,DRAW
2024-03-17 11:15:00+00:00,FC Volendam,AZ,0,4,AWAY_TEAM
2024-03-17 13:30:00+00:00,SC Heerenveen,Feyenoord Rotterdam,2,3,AWAY_TEAM
2024-03-17 13:30:00+00:00,FC Utrecht,NEC,1,0,HOME_TEAM
2024-03-17 15:45:00+00:00,Sparta Rotterdam,AFC Ajax,2,2,DRAW
2024-03-17 19:00:00+00:00,PSV,FC Twente '65,1,0,HOME_TEAM
2024-03-30 15:30:00+00:00,NEC,PSV,3,1,HOME_TEAM
2024-03-30 17:45:00+00:00,Sparta Rotterdam,Fortuna Sittard,4,0,HOME_TEAM
2024-03-30 19:00:00+00:00,Go Ahead Eagles,SBV Excelsior,3,0,HOME_TEAM
2024-03-30 19:00:00+00:00,RKC Waalwijk,SC Heerenveen,1,1,DRAW
2024-03-30 20:00:00+00:00,AZ,SBV Vitesse,2,0,HOME_TEAM
2024-03-31 10:15:00+00:00,PEC Zwolle,AFC Ajax,1,3,AWAY_TEAM
2024-03-31 12:30:00+00:00,FC Twente '65,Heracles Almelo,1,0,HOME_TEAM
2024-03-31 12:30:00+00:00,Feyenoord Rotterdam,FC Utrecht,4,2,HOME_TEAM
2024-03-31 14:45:00+00:00,Almere City FC,FC Volendam,1,1,DRAW
2024-04-02 16:45:00+00:00,SBV Vitesse,Sparta Rotterdam,1,4,AWAY_TEAM
2024-04-02 18:00:00+00:00,SBV Excelsior,PSV,0,2,AWAY_TEAM
2024-04-02 19:00:00+00:00,Fortuna Sittard,NEC,1,1,DRAW
2024-04-03 16:45:00+00:00,Heracles Almelo,AZ,5,0,HOME_TEAM
2024-04-03 18:00:00+00:00,FC Utrecht,PEC Zwolle,5,1,HOME_TEAM
2024-04-03 19:00:00+00:00,SC Heerenveen,FC Twente '65,3,3,DRAW
2024-04-04 16:45:00+00:00,FC Volendam,Feyenoord Rotterdam,0,0,DRAW
2024-04-04 18:00:00+00:00,RKC Waalwijk,Almere City FC,0,0,DRAW
2024-04-04 19:00:00+00:00,AFC Ajax,Go Ahead Eagles,1,1,DRAW
2024-04-06 14:30:00+00:00,Sparta Rotterdam,Heracles Almelo,1,2,AWAY_TEAM
2024-04-06 16:45:00+00:00,PSV,AZ,5,1,HOME_TEAM
2024-04-06 18:00:00+00:00,PEC Zwolle,SBV Excelsior,2,1,HOME_TEAM
2024-04-06 19:00:00+00:00,FC Twente '65,Fortuna Sittard,2,0,HOME_TEAM
2024-04-07 10:15:00+00:00,SBV Vitesse,NEC,0,3,AWAY_TEAM
2024-04-07 12:30:00+00:00,Feyenoord Rotterdam,AFC Ajax,6,0,HOME_TEAM
2024-04-07 12:30:00+00:00,Go Ahead Eagles,Almere City FC,1,1,DRAW
2024-04-07 14:45:00+00:00,FC Volendam,RKC Waalwijk,3,2,HOME_TEAM
2024-04-07 18:00:00+00:00,SC Heerenveen,FC Utrecht,2,3,AWAY_TEAM
2024-04-12 18:00:00+00:00,SBV Excelsior,FC Volendam,4,0,HOME_TEAM
2024-04-13 14:30:00+00:00,PSV,SBV Vitesse,6,0,HOME_TEAM
